"sample_label","Fe_ugg"
"HOGsoil_HY-10",460
"HOGsoil_HY-11",735.1
"HOGsoil_HY-12",1114.3
"HOGsoil_HY-13",1413
"HOGsoil_HY-14",1133.7
"HOGsoil_HY-15",1188.7
"HOGsoil_HY-16",1185.29
"HOGsoil_HY-17",685.2
"HOGsoil_HY-18",545.6
"HOGsoil_HY-19",483
"HOGsoil_HY-20",401.27
"HOGsoil_HY-3",1303.67
"HOGsoil_HY-4",1289.8
"HOGsoil_HY-5",1180.3
"HOGsoil_HY-6",1002.84
"HOGsoil_HY-7",966.84
"HOGsoil_HY-8",1203.47
"HOGsoil_HY-9",497.14
